Year,Month,Month_Name,Date,Day_of_Week,Day_of_Month,Season,Rush_Period,Is_Weekend,Start_Station_Code,End_Station_Code,Number_of_Rides
2011,7,July,2011-07-28,Thursday,28,Summer,AM,FALSE,B32008,B32014,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32001,B32005,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32001,NA,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32002,A32002,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32002,A32012,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,A32001,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,A32002,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,B32002,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,B32007,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,C32001,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32003,D32005,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32009,A32009,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32009,B32010,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32009,D32003,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32009,D32042,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,A32009,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,A32010,3
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,B32007,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,B32014,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,D32003,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,D32006,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,D32009,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32010,D32011,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32012,A32012,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32012,B32005,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32012,B32010,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,A32012,D32005,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32002,B32002,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32005,B32005,5
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32006,A32009,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32006,A32010,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32006,B32002,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32006,B32003,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32006,C32003,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32007,D32003,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32007,D32009,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32007,D32012,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,A32009,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,B32007,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,B32008,3
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,B32010,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,B32015,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,D32000,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,D32004,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32008,D32011,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,A32003,2
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,A32012,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,B32010,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,B32015,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,D32004,1
2011,7,July,2011-07-28,Thursday,28,Summer,PM,FALSE,B32010,D32005,1
